ID,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,WRXavier,"Generally a Centerist, CAGW is a Fraud, The problem with Socialism is that eventually you run out of other peoples money, I will not be an Islamic Dhimmi.",Australia,372,389,36855,103,"The US Food and Drug Administration has elongated the timespan it will take to make public clinical data about Pfizer’s COVID-19 vaccine.

The FDA now says it will take 75 years to release the information.

https://t.co/FjQs7HuaOz",[]
1,Bluecaribe2,“Just the facts mam’”,United States,519,105,15641,3,@stanza12000 @EatLiveHealthy1 @jagchat01 NO it really about our health everyone.  https://t.co/m3MexYT3QQ,[]
2,OrthodoxReflec1,Thoughts on a Life in Christian Orthodoxy,US and Canada,304,1341,11706,0,"Good. So quit trying to ram your jab down everyone’s throat and be content to sell your expensive cold pills. It is really nice you admit this finally, and we can’t wait till your reps are telling this to doctors over donuts. https://t.co/YacaLYSldG",[]
3,maureencoert,"‘Each time a woman stands up for herself, without knowing it possibly, without claiming it, she stands up for all women’~Maya Angelou ~ and be kind",Int.city of peace and justice ,1876,1214,129166,17,Pfizer CEO predicts a fourth shot might be needed in light of omicron variant https://t.co/psrh5r3esk,[]
4,nanc_eeeee,"🚫DM,’50’s Boomer,🌹HarleyMomma Dog&Cat Mom #MAGA #KAG #TRUMP #NoSharia #WalkAway #Love4Laila #VWM 😡NO MANDATES🇺🇸NO 1984 #TermLimits #AuditGOVT #DeadHead",Central Coast CA,7691,7498,188355,247,Can Pfizer and Moderna be sued for ‘false advertising’? Asking any lawyers or legal big brains to weigh in.,[]
5,FPphilosopher,Crunchy conservative chick tweeting postcards from the volcano.,United States,850,164,3173,166,"We were told Pfizer's ""vaccine"" was 95% effective. Do you know why? I'll tell you. 2 out of 22,000 people died in the control group, and 1 out of roughly the same number died in the ""vaccinated"" group. SOLELY on this basis, they claimed the jab was 100% effective. True story.",[]
6,DavidBroderDO,"Associate Dean, NYITCOM
Vice Speaker, American Osteopathic Association

𝘓𝘢𝘶𝘨𝘩𝘵𝘦𝘳 𝘪𝘴 𝘵𝘩𝘦 𝘉𝘦𝘴𝘵 𝘔𝘦𝘥𝘪𝘤𝘪𝘯𝘦","Old Westbury, NY",474,1125,4025,1,"Mixing Pfizer and Moderna vaccines gives a better immune response against COVID-19, study finds.

In college, we were warned about mixing shots.

https://t.co/Y80OvkgHGJ #FoxNews #COVID19 #coronavirus #VaccinePassport #vaccine #medtwitter #drinkresponsibly #Health #college",[]
7,Slayer9815,,,332,198,37584,1071,"Remember to always ask this question:

If you introduce vaccine mandates, who will be legally responsible if there is a (rare) side effect? The PM? Ministers? Your boss? Your doctor? 

Because it won’t be Pfizer, Moderna or AZ (they were granted immunity by your government) https://t.co/1OZFcuwRtv",[]
8,GAGirlUSofA,🇺🇸,,439,213,11260,2530,"The FDA saying it needs 75 years to fully release vaccine data is not a great way to sell the vaccine to those who are skeptical. Why on earth would it take this long?

FDA Says It'll Take 75 Years to Fully Release Pfizer Vaccine Data https://t.co/zDWxmxjtlz",[]
9,Artemisapphire,"Athanasia contra mundum.

Welcome to the Money, Power & War lounge ☕⚔️  

Come in and chat geo-economics, military history, horses, Trek & kittenz",Trinovantum,3851,3233,75200,0,"@qqzm Yass! 🥰 I mean boo you're not in my Pfizer Chiefs gang, but yay for the VaxGang! ❤️",[]
